name,car_type,version,kms_driven,ownership_status,oil_type,down_payment,original_price,reduced_price,City
2018 Maruti Wagon R 1.0,LXI CNG,Manual,"1,00,362 km",1st Owner,CNG,"₹7,116/month","₹4,05,000","₹3,64,000",New Delhi
2014 Maruti Wagon R 1.0,LXI CNG,Manual,"1,05,882 km",1st Owner,CNG,"₹5,220/month","₹2,87,000","₹2,67,000",New Delhi
2020 Hyundai GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT CNG,Manual,"27,458 km",1st Owner,CNG,"₹13,900/month","₹7,25,000","₹7,11,000",New Delhi
2017 Maruti Swift,LXI (O),Manual,"6,795 km",1st Owner,Petrol,"₹9,071/month","₹4,70,000","₹4,64,000",New Delhi
2017 Maruti Swift,LXI (O),Manual,"53,127 km",2nd Owner,Petrol,"₹7,801/month","₹4,32,000","₹3,99,000",New Delhi
2020 Tata NEXON,XM SUNROOF DIESEL,Manual,"70,684 km",1st Owner,Diesel,"₹16,008/month","₹8,57,000","₹8,41,000",New Delhi
2013 Hyundai i10,SPORTZ 1.2 AT,Automatic,"16,843 km",1st Owner,Petrol,"₹6,921/month",N/A,"₹3,54,000",New Delhi
2010 Maruti Ritz,VXI,Manual,"95,346 km",2nd Owner,Petrol,"₹3,030/month",N/A,"₹1,55,000",New Delhi
2012 Honda City,1.5L I-VTEC V MT,Manual,"72,146 km",1st Owner,Petrol,"₹5,767/month","₹3,84,000","₹2,95,000",New Delhi
2010 Maruti Ritz,ZXI,Manual,"66,194 km",1st Owner,Petrol,"₹3,284/month","₹1,83,000","₹1,68,000",New Delhi
2019 Renault Kwid,RXT 1.0 AMT (O),Automatic,"30,828 km",2nd Owner,CNG,"₹8,094/month","₹4,46,000","₹4,14,000",New Delhi
2018 Maruti Alto 800,LXI,Manual,"21,448 km",1st Owner,Petrol,"₹5,611/month","₹3,26,000","₹2,87,000",New Delhi
2013 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"55,728 km",2nd Owner,Petrol,"₹6,002/month","₹3,22,000","₹3,07,000",New Delhi
2021 Tata Tiago,XZ PETROL,Manual,"36,247 km",1st Owner,Petrol,"₹10,420/month","₹5,98,000","₹5,33,000",New Delhi
2020 Maruti New Wagon-R,LXI CNG 1.0,Manual,"86,192 km",1st Owner,CNG,"₹9,873/month","₹5,21,000","₹5,05,000",New Delhi
2018 Mahindra XUV500,W7,Manual,"96,022 km",1st Owner,Diesel,"₹17,016/month","₹9,76,000","₹8,94,000",New Delhi
2017 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"48,768 km",2nd Owner,Petrol,"₹8,250/month","₹4,61,000","₹4,22,000",New Delhi
2015 Hyundai Elite i20,ASTA 1.2,Manual,"53,005 km",1st Owner,Petrol,"₹9,990/month","₹5,30,000","₹5,11,000",New Delhi
2018 Renault Kwid,RXL,Manual,"49,390 km",1st Owner,Petrol,"₹5,220/month","₹3,05,000","₹2,67,000",New Delhi
2018 Maruti Alto K10,VXI,Manual,"16,324 km",1st Owner,Petrol,"₹6,647/month","₹3,78,000","₹3,40,000",New Delhi
